Position,Decimal,Name,Appearance
0x33B9,13241,SQUARE MV MEGA,㎹
0x33BA,13242,SQUARE PW,㎺
0x33BB,13243,SQUARE NW,㎻
0x33BC,13244,SQUARE MU W,㎼
0x33BD,13245,SQUARE MW,㎽
0x33BE,13246,SQUARE KW,㎾
0x33BF,13247,SQUARE MW MEGA,㎿
0x33C0,13248,SQUARE K OHM,㏀
0x33C1,13249,SQUARE M OHM,㏁
0x33C2,13250,SQUARE AM,㏂
0x33C3,13251,SQUARE BQ,㏃
0x33C4,13252,SQUARE CC,㏄
0x33C5,13253,SQUARE CD,㏅
0x33C6,13254,SQUARE C OVER KG,㏆
0x33C7,13255,SQUARE CO,㏇
0x33C8,13256,SQUARE DB,㏈
0x33C9,13257,SQUARE GY,㏉
0x33CA,13258,SQUARE HA,㏊
0x33CB,13259,SQUARE HP,㏋
0x33CC,13260,SQUARE IN,㏌
0x33CD,13261,SQUARE KK,㏍
0x33CE,13262,SQUARE KM CAPITAL,㏎
0x33CF,13263,SQUARE KT,㏏
0x33D0,13264,SQUARE LM,㏐
0x33D1,13265,SQUARE LN,㏑
0x33D2,13266,SQUARE LOG,㏒
0x33D3,13267,SQUARE LX,㏓
0x33D4,13268,SQUARE MB SMALL,㏔
0x33D5,13269,SQUARE MIL,㏕
0x33D6,13270,SQUARE MOL,㏖
0x33D7,13271,SQUARE PH,㏗
0x33D8,13272,SQUARE PM,㏘
0x33D9,13273,SQUARE PPM,㏙
0x33DA,13274,SQUARE PR,㏚
0x33DB,13275,SQUARE SR,㏛
0x33DC,13276,SQUARE SV,㏜
0x33DD,13277,SQUARE WB,㏝
0x33E0,13280,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ONE,㏠
0x33E1,13281,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWO,㏡
0x33E2,13282,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THREE,㏢
0x33E3,13283,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOUR,㏣
0x33E4,13284,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIVE,㏤
0x33E5,13285,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIX,㏥
0x33E6,13286,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVEN,㏦
0x33E7,13287,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHT,㏧
0x33E8,13288,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINE,㏨
0x33E9,13289,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TEN,㏩
0x33EA,13290,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ELEVEN,㏪
0x33EB,13291,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWELVE,㏫
0x33EC,13292,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTEEN,㏬
0x33ED,13293,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOURTEEN,㏭
0x33EE,13294,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIFTEEN,㏮
0x33EF,13295,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIXTEEN,㏯
0x33F0,13296,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVENTEEN,㏰
0x33F1,13297,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHTEEN,㏱
0x33F2,13298,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINETEEN,㏲
0x33F3,13299,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY,㏳
0x33F4,13300,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-ONE,㏴
0x33F5,13301,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-TWO,㏵
0x33F6,13302,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-THREE,㏶
0x33F7,13303,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FOUR,㏷
0x33F8,13304,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FIVE,㏸
0x33F9,13305,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SIX,㏹
0x33FA,13306,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SEVEN,㏺
0x33FB,13307,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-EIGHT,㏻
0x33FC,13308,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-NINE,㏼
0x33FD,13309,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY,㏽
0x33FE,13310,IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY-ONE,㏾
,,,
0x3400,13312,"<CJK Ideograph Extension A, First>",㐀
0x4DB5,19893,"<CJK Ideograph Extension A, Last>",䶵
,,,
0x4E00,19968,"<CJK Ideograph, First>",一
0x9FA5,40869,"<CJK Ideograph, Last>",龥
,,,
0xA000,40960,YI SYLLABLE IT,ꀀ
0xA001,40961,YI SYLLABLE IX,ꀁ
0xA002,40962,YI SYLLABLE I,ꀂ
0xA003,40963,YI SYLLABLE IP,ꀃ
0xA004,40964,YI SYLLABLE IET,ꀄ
0xA005,40965,YI SYLLABLE IEX,ꀅ
0xA006,40966,YI SYLLABLE IE,ꀆ
0xA007,40967,YI SYLLABLE IEP,ꀇ
0xA008,40968,YI SYLLABLE AT,ꀈ
0xA009,40969,YI SYLLABLE AX,ꀉ
0xA00A,40970,YI SYLLABLE A,ꀊ
0xA00B,40971,YI SYLLABLE AP,ꀋ
0xA00C,40972,YI SYLLABLE UOX,ꀌ
0xA00D,40973,YI SYLLABLE UO,ꀍ
0xA00E,40974,YI SYLLABLE UOP,ꀎ
0xA00F,40975,YI SYLLABLE OT,ꀏ
0xA010,40976,YI SYLLABLE OX,ꀐ
0xA011,40977,YI SYLLABLE O,ꀑ
0xA012,40978,YI SYLLABLE OP,ꀒ
0xA013,40979,YI SYLLABLE EX,ꀓ
0xA014,40980,YI SYLLABLE E,ꀔ
0xA015,40981,YI SYLLABLE WU,ꀕ
0xA016,40982,YI SYLLABLE BIT,ꀖ
0xA017,40983,YI SYLLABLE BIX,ꀗ
0xA018,40984,YI SYLLABLE BI,ꀘ
0xA019,40985,YI SYLLABLE BIP,ꀙ
0xA01A,40986,YI SYLLABLE BIET,ꀚ
0xA01B,40987,YI SYLLABLE BIEX,ꀛ
0xA01C,40988,YI SYLLABLE BIE,ꀜ
0xA01D,40989,YI SYLLABLE BIEP,ꀝ
0xA01E,40990,YI SYLLABLE BAT,ꀞ
0xA01F,40991,YI SYLLABLE BAX,ꀟ
0xA020,40992,YI SYLLABLE BA,ꀠ
0xA021,40993,YI SYLLABLE BAP,ꀡ
0xA022,40994,YI SYLLABLE BUOX,ꀢ
0xA023,40995,YI SYLLABLE BUO,ꀣ
0xA024,40996,YI SYLLABLE BUOP,ꀤ
0xA025,40997,YI SYLLABLE BOT,ꀥ
0xA026,40998,YI SYLLABLE BOX,ꀦ
0xA027,40999,YI SYLLABLE BO,ꀧ
0xA028,41000,YI SYLLABLE BOP,ꀨ
0xA029,41001,YI SYLLABLE BEX,ꀩ
0xA02A,41002,YI SYLLABLE BE,ꀪ
0xA02B,41003,YI SYLLABLE BEP,ꀫ
0xA02C,41004,YI SYLLABLE BUT,ꀬ
0xA02D,41005,YI SYLLABLE BUX,ꀭ
0xA02E,41006,YI SYLLABLE BU,ꀮ
0xA02F,41007,YI SYLLABLE BUP,ꀯ
0xA030,41008,YI SYLLABLE BURX,ꀰ
0xA031,41009,YI SYLLABLE BUR,ꀱ
0xA032,41010,YI SYLLABLE BYT,ꀲ
0xA033,41011,YI SYLLABLE BYX,ꀳ
0xA034,41012,YI SYLLABLE BY,ꀴ
0xA035,41013,YI SYLLABLE BYP,ꀵ
0xA036,41014,YI SYLLABLE BYRX,ꀶ
0xA037,41015,YI SYLLABLE BYR,ꀷ
0xA038,41016,YI SYLLABLE PIT,ꀸ
0xA039,41017,YI SYLLABLE PIX,ꀹ
0xA03A,41018,YI SYLLABLE PI,ꀺ
0xA03B,41019,YI SYLLABLE PIP,ꀻ
0xA03C,41020,YI SYLLABLE PIEX,ꀼ
0xA03D,41021,YI SYLLABLE PIE,ꀽ
0xA03E,41022,YI SYLLABLE PIEP,ꀾ
0xA03F,41023,YI SYLLABLE PAT,ꀿ
0xA040,41024,YI SYLLABLE PAX,ꁀ
0xA041,41025,YI SYLLABLE PA,ꁁ
0xA042,41026,YI SYLLABLE PAP,ꁂ
0xA043,41027,YI SYLLABLE PUOX,ꁃ
0xA044,41028,YI SYLLABLE PUO,ꁄ
0xA045,41029,YI SYLLABLE PUOP,ꁅ
0xA046,41030,YI SYLLABLE POT,ꁆ
0xA047,41031,YI SYLLABLE POX,ꁇ
0xA048,41032,YI SYLLABLE PO,ꁈ
0xA049,41033,YI SYLLABLE POP,ꁉ
0xA04A,41034,YI SYLLABLE PUT,ꁊ
0xA04B,41035,YI SYLLABLE PUX,ꁋ
0xA04C,41036,YI SYLLABLE PU,ꁌ
0xA04D,41037,YI SYLLABLE PUP,ꁍ
0xA04E,41038,YI SYLLABLE PURX,ꁎ
0xA04F,41039,YI SYLLABLE PUR,ꁏ
0xA050,41040,YI SYLLABLE PYT,ꁐ
0xA051,41041,YI SYLLABLE PYX,ꁑ
0xA052,41042,YI SYLLABLE PY,ꁒ
0xA053,41043,YI SYLLABLE PYP,ꁓ
0xA054,41044,YI SYLLABLE PYRX,ꁔ
0xA055,41045,YI SYLLABLE PYR,ꁕ
0xA056,41046,YI SYLLABLE BBIT,ꁖ
0xA057,41047,YI SYLLABLE BBIX,ꁗ
0xA058,41048,YI SYLLABLE BBI,ꁘ
0xA059,41049,YI SYLLABLE BBIP,ꁙ
0xA05A,41050,YI SYLLABLE BBIET,ꁚ
0xA05B,41051,YI SYLLABLE BBIEX,ꁛ
0xA05C,41052,YI SYLLABLE BBIE,ꁜ
0xA05D,41053,YI SYLLABLE BBIEP,ꁝ
0xA05E,41054,YI SYLLABLE BBAT,ꁞ
0xA05F,41055,YI SYLLABLE BBAX,ꁟ
0xA060,41056,YI SYLLABLE BBA,ꁠ
0xA061,41057,YI SYLLABLE BBAP,ꁡ
0xA062,41058,YI SYLLABLE BBUOX,ꁢ
0xA063,41059,YI SYLLABLE BBUO,ꁣ
0xA064,41060,YI SYLLABLE BBUOP,ꁤ
0xA065,41061,YI SYLLABLE BBOT,ꁥ
0xA066,41062,YI SYLLABLE BBOX,ꁦ
0xA067,41063,YI SYLLABLE BBO,ꁧ
0xA068,41064,YI SYLLABLE BBOP,ꁨ
0xA069,41065,YI SYLLABLE BBEX,ꁩ
0xA06A,41066,YI SYLLABLE BBE,ꁪ
0xA06B,41067,YI SYLLABLE BBEP,ꁫ
0xA06C,41068,YI SYLLABLE BBUT,ꁬ
0xA06D,41069,YI SYLLABLE BBUX,ꁭ
0xA06E,41070,YI SYLLABLE BBU,ꁮ
0xA06F,41071,YI SYLLABLE BBUP,ꁯ
0xA070,41072,YI SYLLABLE BBURX,ꁰ
0xA071,41073,YI SYLLABLE BBUR,ꁱ
0xA072,41074,YI SYLLABLE BBYT,ꁲ
0xA073,41075,YI SYLLABLE BBYX,ꁳ
0xA074,41076,YI SYLLABLE BBY,ꁴ
0xA075,41077,YI SYLLABLE BBYP,ꁵ
0xA076,41078,YI SYLLABLE NBIT,ꁶ
0xA077,41079,YI SYLLABLE NBIX,ꁷ
0xA078,41080,YI SYLLABLE NBI,ꁸ
0xA079,41081,YI SYLLABLE NBIP,ꁹ
0xA07A,41082,YI SYLLABLE NBIEX,ꁺ
0xA07B,41083,YI SYLLABLE NBIE,ꁻ
0xA07C,41084,YI SYLLABLE NBIEP,ꁼ
0xA07D,41085,YI SYLLABLE NBAT,ꁽ
0xA07E,41086,YI SYLLABLE NBAX,ꁾ
0xA07F,41087,YI SYLLABLE NBA,ꁿ
0xA080,41088,YI SYLLABLE NBAP,ꂀ
0xA081,41089,YI SYLLABLE NBOT,ꂁ
0xA082,41090,YI SYLLABLE NBOX,ꂂ
0xA083,41091,YI SYLLABLE NBO,ꂃ
0xA084,41092,YI SYLLABLE NBOP,ꂄ
0xA085,41093,YI SYLLABLE NBUT,ꂅ
0xA086,41094,YI SYLLABLE NBUX,ꂆ
0xA087,41095,YI SYLLABLE NBU,ꂇ
0xA088,41096,YI SYLLABLE NBUP,ꂈ
0xA089,41097,YI SYLLABLE NBURX,ꂉ
0xA08A,41098,YI SYLLABLE NBUR,ꂊ
0xA08B,41099,YI SYLLABLE NBYT,ꂋ
0xA08C,41100,YI SYLLABLE NBYX,ꂌ
0xA08D,41101,YI SYLLABLE NBY,ꂍ
0xA08E,41102,YI SYLLABLE NBYP,ꂎ
0xA08F,41103,YI SYLLABLE NBYRX,ꂏ
0xA090,41104,YI SYLLABLE NBYR,ꂐ
0xA091,41105,YI SYLLABLE HMIT,ꂑ
0xA092,41106,YI SYLLABLE HMIX,ꂒ
0xA093,41107,YI SYLLABLE HMI,ꂓ
0xA094,41108,YI SYLLABLE HMIP,ꂔ
0xA095,41109,YI SYLLABLE HMIEX,ꂕ
0xA096,41110,YI SYLLABLE HMIE,ꂖ
0xA097,41111,YI SYLLABLE HMIEP,ꂗ
0xA098,41112,YI SYLLABLE HMAT,ꂘ
0xA099,41113,YI SYLLABLE HMAX,ꂙ
0xA09A,41114,YI SYLLABLE HMA,ꂚ
0xA09B,41115,YI SYLLABLE HMAP,ꂛ
0xA09C,41116,YI SYLLABLE HMUOX,ꂜ
0xA09D,41117,YI SYLLABLE HMUO,ꂝ
0xA09E,41118,YI SYLLABLE HMUOP,ꂞ
0xA09F,41119,YI SYLLABLE HMOT,ꂟ
0xA0A0,41120,YI SYLLABLE HMOX,ꂠ
0xA0A1,41121,YI SYLLABLE HMO,ꂡ
0xA0A2,41122,YI SYLLABLE HMOP,ꂢ
0xA0A3,41123,YI SYLLABLE HMUT,ꂣ
0xA0A4,41124,YI SYLLABLE HMUX,ꂤ
0xA0A5,41125,YI SYLLABLE HMU,ꂥ
0xA0A6,41126,YI SYLLABLE HMUP,ꂦ
0xA0A7,41127,YI SYLLABLE HMURX,ꂧ
0xA0A8,41128,YI SYLLABLE HMUR,ꂨ
0xA0A9,41129,YI SYLLABLE HMYX,ꂩ
0xA0AA,41130,YI SYLLABLE HMY,ꂪ
0xA0AB,41131,YI SYLLABLE HMYP,ꂫ
0xA0AC,41132,YI SYLLABLE HMYRX,ꂬ
0xA0AD,41133,YI SYLLABLE HMYR,ꂭ
0xA0AE,41134,YI SYLLABLE MIT,ꂮ
0xA0AF,41135,YI SYLLABLE MIX,ꂯ
0xA0B0,41136,YI SYLLABLE MI,ꂰ
0xA0B1,41137,YI SYLLABLE MIP,ꂱ
0xA0B2,41138,YI SYLLABLE MIEX,ꂲ
0xA0B3,41139,YI SYLLABLE MIE,ꂳ
0xA0B4,41140,YI SYLLABLE MIEP,ꂴ
0xA0B5,41141,YI SYLLABLE MAT,ꂵ
0xA0B6,41142,YI SYLLABLE MAX,ꂶ
0xA0B7,41143,YI SYLLABLE MA,ꂷ
0xA0B8,41144,YI SYLLABLE MAP,ꂸ
0xA0B9,41145,YI SYLLABLE MUOT,ꂹ
0xA0BA,41146,YI SYLLABLE MUOX,ꂺ
0xA0BB,41147,YI SYLLABLE MUO,ꂻ
0xA0BC,41148,YI SYLLABLE MUOP,ꂼ
0xA0BD,41149,YI SYLLABLE MOT,ꂽ
0xA0BE,41150,YI SYLLABLE MOX,ꂾ
0xA0BF,41151,YI SYLLABLE MO,ꂿ
0xA0C0,41152,YI SYLLABLE MOP,ꃀ
0xA0C1,41153,YI SYLLABLE MEX,ꃁ
0xA0C2,41154,YI SYLLABLE ME,ꃂ
0xA0C3,41155,YI SYLLABLE MUT,ꃃ
0xA0C4,41156,YI SYLLABLE MUX,ꃄ
0xA0C5,41157,YI SYLLABLE MU,ꃅ
0xA0C6,41158,YI SYLLABLE MUP,ꃆ
0xA0C7,41159,YI SYLLABLE MURX,ꃇ
0xA0C8,41160,YI SYLLABLE MUR,ꃈ
0xA0C9,41161,YI SYLLABLE MYT,ꃉ
0xA0CA,41162,YI SYLLABLE MYX,ꃊ
0xA0CB,41163,YI SYLLABLE MY,ꃋ
0xA0CC,41164,YI SYLLABLE MYP,ꃌ
0xA0CD,41165,YI SYLLABLE FIT,ꃍ
0xA0CE,41166,YI SYLLABLE FIX,ꃎ
0xA0CF,41167,YI SYLLABLE FI,ꃏ
0xA0D0,41168,YI SYLLABLE FIP,ꃐ
0xA0D1,41169,YI SYLLABLE FAT,ꃑ
0xA0D2,41170,YI SYLLABLE FAX,ꃒ
0xA0D3,41171,YI SYLLABLE FA,ꃓ
0xA0D4,41172,YI SYLLABLE FAP,ꃔ
0xA0D5,41173,YI SYLLABLE FOX,ꃕ
0xA0D6,41174,YI SYLLABLE FO,ꃖ
0xA0D7,41175,YI SYLLABLE FOP,ꃗ
0xA0D8,41176,YI SYLLABLE FUT,ꃘ
0xA0D9,41177,YI SYLLABLE FUX,ꃙ
0xA0DA,41178,YI SYLLABLE FU,ꃚ
0xA0DB,41179,YI SYLLABLE FUP,ꃛ
0xA0DC,41180,YI SYLLABLE FURX,ꃜ
0xA0DD,41181,YI SYLLABLE FUR,ꃝ
0xA0DE,41182,YI SYLLABLE FYT,ꃞ
0xA0DF,41183,YI SYLLABLE FYX,ꃟ
0xA0E0,41184,YI SYLLABLE FY,ꃠ
0xA0E1,41185,YI SYLLABLE FYP,ꃡ
0xA0E2,41186,YI SYLLABLE VIT,ꃢ
0xA0E3,41187,YI SYLLABLE VIX,ꃣ
0xA0E4,41188,YI SYLLABLE VI,ꃤ
0xA0E5,41189,YI SYLLABLE VIP,ꃥ
0xA0E6,41190,YI SYLLABLE VIET,ꃦ
0xA0E7,41191,YI SYLLABLE VIEX,ꃧ
0xA0E8,41192,YI SYLLABLE VIE,ꃨ
0xA0E9,41193,YI SYLLABLE VIEP,ꃩ
0xA0EA,41194,YI SYLLABLE VAT,ꃪ
0xA0EB,41195,YI SYLLABLE VAX,ꃫ
0xA0EC,41196,YI SYLLABLE VA,ꃬ
0xA0ED,41197,YI SYLLABLE VAP,ꃭ
0xA0EE,41198,YI SYLLABLE VOT,ꃮ
0xA0EF,41199,YI SYLLABLE VOX,ꃯ
0xA0F0,41200,YI SYLLABLE VO,ꃰ
0xA0F1,41201,YI SYLLABLE VOP,ꃱ
0xA0F2,41202,YI SYLLABLE VEX,ꃲ
0xA0F3,41203,YI SYLLABLE VEP,ꃳ
0xA0F4,41204,YI SYLLABLE VUT,ꃴ
0xA0F5,41205,YI SYLLABLE VUX,ꃵ
0xA0F6,41206,YI SYLLABLE VU,ꃶ
0xA0F7,41207,YI SYLLABLE VUP,ꃷ
0xA0F8,41208,YI SYLLABLE VURX,ꃸ
0xA0F9,41209,YI SYLLABLE VUR,ꃹ
0xA0FA,41210,YI SYLLABLE VYT,ꃺ
0xA0FB,41211,YI SYLLABLE VYX,ꃻ
0xA0FC,41212,YI SYLLABLE VY,ꃼ
0xA0FD,41213,YI SYLLABLE VYP,ꃽ
0xA0FE,41214,YI SYLLABLE VYRX,ꃾ
0xA0FF,41215,YI SYLLABLE VYR,ꃿ
0xA100,41216,YI SYLLABLE DIT,ꄀ
0xA101,41217,YI SYLLABLE DIX,ꄁ
0xA102,41218,YI SYLLABLE DI,ꄂ
0xA103,41219,YI SYLLABLE DIP,ꄃ
0xA104,41220,YI SYLLABLE DIEX,ꄄ
0xA105,41221,YI SYLLABLE DIE,ꄅ
0xA106,41222,YI SYLLABLE DIEP,ꄆ
0xA107,41223,YI SYLLABLE DAT,ꄇ
0xA108,41224,YI SYLLABLE DAX,ꄈ
0xA109,41225,YI SYLLABLE DA,ꄉ
0xA10A,41226,YI SYLLABLE DAP,ꄊ
0xA10B,41227,YI SYLLABLE DUOX,ꄋ
0xA10C,41228,YI SYLLABLE DUO,ꄌ
0xA10D,41229,YI SYLLABLE DOT,ꄍ
0xA10E,41230,YI SYLLABLE DOX,ꄎ
0xA10F,41231,YI SYLLABLE DO,ꄏ
0xA110,41232,YI SYLLABLE DOP,ꄐ
0xA111,41233,YI SYLLABLE DEX,ꄑ
0xA112,41234,YI SYLLABLE DE,ꄒ
0xA113,41235,YI SYLLABLE DEP,ꄓ
0xA114,41236,YI SYLLABLE DUT,ꄔ
0xA115,41237,YI SYLLABLE DUX,ꄕ
0xA116,41238,YI SYLLABLE DU,ꄖ
0xA117,41239,YI SYLLABLE DUP,ꄗ
0xA118,41240,YI SYLLABLE DURX,ꄘ
0xA119,41241,YI SYLLABLE DUR,ꄙ
0xA11A,41242,YI SYLLABLE TIT,ꄚ
0xA11B,41243,YI SYLLABLE TIX,ꄛ
0xA11C,41244,YI SYLLABLE TI,ꄜ
0xA11D,41245,YI SYLLABLE TIP,ꄝ
0xA11E,41246,YI SYLLABLE TIEX,ꄞ
0xA11F,41247,YI SYLLABLE TIE,ꄟ
0xA120,41248,YI SYLLABLE TIEP,ꄠ
0xA121,41249,YI SYLLABLE TAT,ꄡ
0xA122,41250,YI SYLLABLE TAX,ꄢ
0xA123,41251,YI SYLLABLE TA,ꄣ
0xA124,41252,YI SYLLABLE TAP,ꄤ
0xA125,41253,YI SYLLABLE TUOT,ꄥ
0xA126,41254,YI SYLLABLE TUOX,ꄦ
0xA127,41255,YI SYLLABLE TUO,ꄧ
0xA128,41256,YI SYLLABLE TUOP,ꄨ
0xA129,41257,YI SYLLABLE TOT,ꄩ
0xA12A,41258,YI SYLLABLE TOX,ꄪ
0xA12B,41259,YI SYLLABLE TO,ꄫ
0xA12C,41260,YI SYLLABLE TOP,ꄬ
0xA12D,41261,YI SYLLABLE TEX,ꄭ
0xA12E,41262,YI SYLLABLE TE,ꄮ
0xA12F,41263,YI SYLLABLE TEP,ꄯ
0xA130,41264,YI SYLLABLE TUT,ꄰ
0xA131,41265,YI SYLLABLE TUX,ꄱ
0xA132,41266,YI SYLLABLE TU,ꄲ
0xA133,41267,YI SYLLABLE TUP,ꄳ
0xA134,41268,YI SYLLABLE TURX,ꄴ
0xA135,41269,YI SYLLABLE TUR,ꄵ
0xA136,41270,YI SYLLABLE DDIT,ꄶ
0xA137,41271,YI SYLLABLE DDIX,ꄷ
0xA138,41272,YI SYLLABLE DDI,ꄸ
0xA139,41273,YI SYLLABLE DDIP,ꄹ
0xA13A,41274,YI SYLLABLE DDIEX,ꄺ
0xA13B,41275,YI SYLLABLE DDIE,ꄻ
0xA13C,41276,YI SYLLABLE DDIEP,ꄼ
0xA13D,41277,YI SYLLABLE DDAT,ꄽ
0xA13E,41278,YI SYLLABLE DDAX,ꄾ
0xA13F,41279,YI SYLLABLE DDA,ꄿ
0xA140,41280,YI SYLLABLE DDAP,ꅀ
0xA141,41281,YI SYLLABLE DDUOX,ꅁ
0xA142,41282,YI SYLLABLE DDUO,ꅂ
0xA143,41283,YI SYLLABLE DDUOP,ꅃ
0xA144,41284,YI SYLLABLE DDOT,ꅄ
0xA145,41285,YI SYLLABLE DDOX,ꅅ
0xA146,41286,YI SYLLABLE DDO,ꅆ
0xA147,41287,YI SYLLABLE DDOP,ꅇ
0xA148,41288,YI SYLLABLE DDEX,ꅈ
0xA149,41289,YI SYLLABLE DDE,ꅉ
0xA14A,41290,YI SYLLABLE DDEP,ꅊ
0xA14B,41291,YI SYLLABLE DDUT,ꅋ
0xA14C,41292,YI SYLLABLE DDUX,ꅌ
0xA14D,41293,YI SYLLABLE DDU,ꅍ
0xA14E,41294,YI SYLLABLE DDUP,ꅎ
0xA14F,41295,YI SYLLABLE DDURX,ꅏ
0xA150,41296,YI SYLLABLE DDUR,ꅐ
0xA151,41297,YI SYLLABLE NDIT,ꅑ
0xA152,41298,YI SYLLABLE NDIX,ꅒ
0xA153,41299,YI SYLLABLE NDI,ꅓ
0xA154,41300,YI SYLLABLE NDIP,ꅔ
0xA155,41301,YI SYLLABLE NDIEX,ꅕ
0xA156,41302,YI SYLLABLE NDIE,ꅖ
0xA157,41303,YI SYLLABLE NDAT,ꅗ
0xA158,41304,YI SYLLABLE NDAX,ꅘ
0xA159,41305,YI SYLLABLE NDA,ꅙ
0xA15A,41306,YI SYLLABLE NDAP,ꅚ
0xA15B,41307,YI SYLLABLE NDOT,ꅛ
0xA15C,41308,YI SYLLABLE NDOX,ꅜ
0xA15D,41309,YI SYLLABLE NDO,ꅝ
0xA15E,41310,YI SYLLABLE NDOP,ꅞ
0xA15F,41311,YI SYLLABLE NDEX,ꅟ
0xA160,41312,YI SYLLABLE NDE,ꅠ
0xA161,41313,YI SYLLABLE NDEP,ꅡ
0xA162,41314,YI SYLLABLE NDUT,ꅢ
0xA163,41315,YI SYLLABLE NDUX,ꅣ
0xA164,41316,YI SYLLABLE NDU,ꅤ
0xA165,41317,YI SYLLABLE NDUP,ꅥ
0xA166,41318,YI SYLLABLE NDURX,ꅦ
0xA167,41319,YI SYLLABLE NDUR,ꅧ
0xA168,41320,YI SYLLABLE HNIT,ꅨ
0xA169,41321,YI SYLLABLE HNIX,ꅩ
0xA16A,41322,YI SYLLABLE HNI,ꅪ
0xA16B,41323,YI SYLLABLE HNIP,ꅫ
0xA16C,41324,YI SYLLABLE HNIET,ꅬ
0xA16D,41325,YI SYLLABLE HNIEX,ꅭ
0xA16E,41326,YI SYLLABLE HNIE,ꅮ
0xA16F,41327,YI SYLLABLE HNIEP,ꅯ
0xA170,41328,YI SYLLABLE HNAT,ꅰ
0xA171,41329,YI SYLLABLE HNAX,ꅱ
0xA172,41330,YI SYLLABLE HNA,ꅲ
0xA173,41331,YI SYLLABLE HNAP,ꅳ
0xA174,41332,YI SYLLABLE HNUOX,ꅴ
0xA175,41333,YI SYLLABLE HNUO,ꅵ
0xA176,41334,YI SYLLABLE HNOT,ꅶ
0xA177,41335,YI SYLLABLE HNOX,ꅷ
0xA178,41336,YI SYLLABLE HNOP,ꅸ
0xA179,41337,YI SYLLABLE HNEX,ꅹ
0xA17A,41338,YI SYLLABLE HNE,ꅺ
0xA17B,41339,YI SYLLABLE HNEP,ꅻ
0xA17C,41340,YI SYLLABLE HNUT,ꅼ
0xA17D,41341,YI SYLLABLE NIT,ꅽ
0xA17E,41342,YI SYLLABLE NIX,ꅾ
0xA17F,41343,YI SYLLABLE NI,ꅿ
0xA180,41344,YI SYLLABLE NIP,ꆀ
0xA181,41345,YI SYLLABLE NIEX,ꆁ
0xA182,41346,YI SYLLABLE NIE,ꆂ
0xA183,41347,YI SYLLABLE NIEP,ꆃ
0xA184,41348,YI SYLLABLE NAX,ꆄ
0xA185,41349,YI SYLLABLE NA,ꆅ
0xA186,41350,YI SYLLABLE NAP,ꆆ
0xA187,41351,YI SYLLABLE NUOX,ꆇ
0xA188,41352,YI SYLLABLE NUO,ꆈ
0xA189,41353,YI SYLLABLE NUOP,ꆉ
0xA18A,41354,YI SYLLABLE NOT,ꆊ
0xA18B,41355,YI SYLLABLE NOX,ꆋ
0xA18C,41356,YI SYLLABLE NO,ꆌ
0xA18D,41357,YI SYLLABLE NOP,ꆍ
0xA18E,41358,YI SYLLABLE NEX,ꆎ
0xA18F,41359,YI SYLLABLE NE,ꆏ
0xA190,41360,YI SYLLABLE NEP,ꆐ
0xA191,41361,YI SYLLABLE NUT,ꆑ
0xA192,41362,YI SYLLABLE NUX,ꆒ
0xA193,41363,YI SYLLABLE NU,ꆓ
0xA194,41364,YI SYLLABLE NUP,ꆔ
0xA195,41365,YI SYLLABLE NURX,ꆕ
0xA196,41366,YI SYLLABLE NUR,ꆖ
0xA197,41367,YI SYLLABLE HLIT,ꆗ
